country,question,answer
Germany,"What is my contract type as an employee?","As an employee, you will have a part-time or full-time employment contract with iDelivery. This provides you with a fixed salary, paid vacation, and social security benefits, unlike a freelancer."
Germany,"How is my hourly pay calculated as an employee?","Your pay is based on an agreed-upon hourly wage as stated in your employment contract. It's a stable, predictable income and does not fluctuate with individual deliveries."
Germany,"Do I get paid sick leave as an employee?","Yes, if you fall ill, you are entitled to continued payment of your salary for up to six weeks. You must provide a doctor's note to qualify for this benefit."
Germany,"What is the process for employee onboarding?","Onboarding includes an in-person session where you'll review your employment contract, learn about company policies, and receive your official iDelivery equipment and uniform."
Germany,"How do I report a work-related injury as an employee?","If you are injured on the job, you must report it immediately to your manager and seek medical attention. The company's occupational accident insurance will cover the costs."
Germany,"What are my rights as a part-time employee?","As a part-time employee, you have the same rights and protections as a full-time employee, including minimum wage, paid leave, and social security. Your hours and pay are proportional to your work schedule."
Germany,"What is the role of the works council (Betriebsrat) at iDelivery?","The works council represents the employees' interests to management. They are involved in decisions regarding working conditions, payment, and personnel matters."
Germany,"What happens if I need to take time off for personal reasons?","You must submit a formal request for leave to your supervisor. The approval is subject to company policy and operational needs, and it must be submitted in advance."
Germany,"How is my pension and social security contribution handled?","As a salaried employee, iDelivery handles your contributions to public pension insurance, unemployment insurance, health insurance, and long-term care insurance. These are deducted automatically from your gross salary."
Germany,"What is the notice period for terminating my employment contract?","Your notice period is specified in your employment contract, usually four weeks to the 15th of a month or the end of a month. It must be submitted in writing to iDelivery."
Germany,"Am I required to work on public holidays as an employee?","You may be required to work on public holidays, but you are entitled to special holiday pay or compensatory time off, according to German labor law."
Germany,"Can I use my own vehicle for deliveries as an employee?","If you use your personal vehicle for work, iDelivery will provide a mileage allowance or an expense reimbursement, but this must be agreed upon in your contract."
Germany,"What if I am a minor and working for iDelivery?","Special labor laws apply to minors (Jugendarbeitsschutzgesetz). Your working hours, breaks, and types of work are strictly regulated to protect your health and safety."
Germany,"How do I get my payroll statements as an employee?","Your monthly payroll statements are typically provided via a secure online portal or sent to your registered email address. They detail your gross pay, deductions, and net salary."
Germany,"What is my entitlement to breaks as an employee?","Your break entitlements are defined by German labor law (Arbeitszeitgesetz). For shifts longer than six hours, you are entitled to a break of at least 30 minutes. This is mandatory for your well-being."
Germany,"What is the process for freelancer registration (Gewerbeanmeldung)?","To work as a freelancer in Germany, you must register your business with your local trade office (Gewerbeamt). This is a legal requirement before you start working and involves filling out a simple form."
Germany,"What is the small business regulation (Kleinunternehmerregelung)?","This regulation allows freelancers with an annual turnover of less than €22,000 to be exempt from collecting and remitting VAT. It simplifies your tax obligations significantly."
Germany,"How do I handle taxes as a freelance courier?","You are responsible for paying your own income tax and, if applicable, VAT. You must file an annual tax return with the tax office (Finanzamt). It's advisable to consult a tax advisor."
Germany,"Can a freelance courier in Germany work for other companies?","Yes, as a freelancer, you have the freedom to work for multiple platforms and companies. This is a key advantage of your self-employed status and allows you to be flexible."
Germany,"What are the deductible expenses for a freelance courier?","You can deduct business expenses from your taxable income, such as vehicle costs, fuel, maintenance, phone and data plans, and professional equipment like insulated bags."
Germany,"Do I get paid sick leave as a freelancer?","No, as a freelancer, you are not entitled to statutory paid sick leave. You are responsible for your own health insurance and for managing any time you are unable to work due to illness."
Germany,"How do I track my earnings as a freelancer?","You are responsible for keeping detailed records of your earnings and expenses. iDelivery provides an online summary of your completed orders and total pay to assist you with this process."
Germany,"What is the process for submitting invoices to iDelivery?","iDelivery will typically generate a weekly or bi-weekly invoice for you based on your completed deliveries. You can access and download these statements from your online courier portal."
Germany,"What is the liability for a freelance courier?","You are responsible for your own liability and must carry appropriate commercial insurance for your vehicle to cover any accidents or damages that occur while on a delivery."
Germany,"How do I get my tax number (Steuernummer) after registering my business?","After you submit your business registration, the Finanzamt will send you a tax number. You must use this number for all your tax-related correspondence and filings."
Germany,"What happens if I want to terminate my freelance contract with iDelivery?","You can terminate your contract by providing written notice to iDelivery. The specific notice period is detailed in your service agreement, but it's typically more flexible than an employment contract."
Germany,"Do I need a special license to be a freelance courier?","You need a valid driver's license for your vehicle type. However, for a commercial vehicle, a special license may be required by German law."
Germany,"What is the difference between a freelancer and an employee in Germany?","Freelancers are self-employed, have control over their work, and are responsible for their own taxes and insurance. Employees work for iDelivery, have set hours, and receive social security and paid leave."
Netherlands,"What are the conditions of my contract as an employee?","As an employee, you will have an employment contract with iDelivery, which outlines your fixed or flexible working hours, hourly wage, and all terms of your employment. This includes holiday pay and other benefits."
Netherlands,"How is my wage calculated as an employee?","Your wage is an hourly rate as specified in your contract. You will be paid for every hour you work, and this payment is consistent and predictable."
Netherlands,"Do I have a right to sick leave as an employee?","Yes, as an employee in the Netherlands, you are legally entitled to sick pay. iDelivery is required to pay at least 70% of your salary for up to two years while you are unable to work due to illness."
Netherlands,"What is the onboarding process for new employees?","Your onboarding includes a meeting to sign your contract and a training session. You'll learn how to use the app and safely complete deliveries. You will also receive your official iDelivery uniform and insulated bag."
Netherlands,"How do I report a work-related injury as an employee?","If you sustain an injury during your working hours, you must report it to your supervisor immediately. Your medical costs will be covered by the company's accident insurance policy."
Netherlands,"What are my rights as a part-time employee?","Part-time employees have the same rights as full-time employees, including minimum wage, holiday pay, and protection against unfair dismissal. Your entitlements are proportional to the number of hours you work."
Netherlands,"What is the role of the works council (ondernemingsraad) in the Netherlands?","The works council represents the interests of the employees and is involved in company decisions. They ensure that the company follows labor laws and collective bargaining agreements."
Netherlands,"How do I request time off or vacation as an employee?","You must submit a request for time off to your supervisor. Your eligibility and the number of days you can take are determined by your contract and the company's leave policies."
Netherlands,"How are my pension and social security contributions handled as an employee?","iDelivery automatically deducts your contributions for pension, unemployment, and other social security benefits from your gross salary. This ensures you are covered by the national social security system."
Netherlands,"What is the notice period for terminating my employment contract?","The standard notice period for an employee in the Netherlands is one month. You must provide written notice to iDelivery to officially end your employment relationship."
Netherlands,"Am I required to work on public holidays as an employee?","You may be asked to work on public holidays. If you do, you are entitled to extra pay or time off in lieu, depending on the terms of your contract and the law."
Netherlands,"Can I use my own vehicle for deliveries as an employee?","Yes, if you use your own vehicle, iDelivery will provide a fixed allowance to cover your vehicle-related expenses. The amount is determined by your contract."
Netherlands,"What if I am a minor and working for iDelivery?","Special labor laws apply to minors in the Netherlands. Your working hours, breaks, and the types of work you can do are strictly regulated to protect your health and safety."
Netherlands,"How do I get my payroll statements as an employee?","Your monthly payroll statements are typically made available through a secure online portal. They provide a detailed breakdown of your gross pay, deductions, and net salary."
Netherlands,"What is my entitlement to breaks as an employee?","For every five and a half hours you work, you are entitled to a break of at least 30 minutes. You can split this into two 15-minute breaks. This is a legal requirement."
Netherlands,"What is the process for freelancer registration (KvK)?","You must register your business with the Chamber of Commerce (Kamer van Koophandel or KvK) before you can start working as a freelancer. This is a legal and mandatory step."
Netherlands,"What is the small business regulation (Kleineondernemersregeling or KOR)?","The KOR is an optional VAT exemption for freelancers whose turnover is below €20,000 per year. It simplifies your administrative burden significantly."
Netherlands,"How do I handle taxes as a freelance courier?","You are responsible for your own income tax and, if applicable, VAT. You must file a tax return with the Belastingdienst (Tax Administration) annually."
Netherlands,"Can a freelance courier in the Netherlands work for other companies?","Yes, as a freelancer you have the freedom to work for multiple platforms and clients. This gives you the flexibility to manage your own schedule and income."
Netherlands,"What are the deductible expenses for a freelance courier?","You can deduct various business expenses from your taxable income, including costs for your vehicle, fuel, insurance, phone plan, and professional equipment like a delivery bag."
Netherlands,"Do I get paid sick leave as a freelancer?","No, as a freelancer, you are not entitled to sick pay. You are responsible for arranging your own insurance to cover your income if you are unable to work due to illness."
Netherlands,"How do I track my earnings as a freelancer?","You are responsible for keeping a clear record of your earnings and expenses. iDelivery will provide you with a detailed overview of your completed deliveries and total payments."
Netherlands,"What is the process for submitting invoices to iDelivery?","iDelivery will automatically generate a weekly or bi-weekly invoice on your behalf, which is based on your completed deliveries. You can view these via your courier portal."
Netherlands,"What is the liability for a freelance courier?","You are responsible for your own liability. You must ensure you have adequate commercial insurance for your vehicle to cover any damages or accidents that may occur on a delivery."
Netherlands,"How do I get my VAT number after registering my business?","After you register with the Kamer van Koophandel (KvK), the Belastingdienst will send you a VAT number. You need to use this for your VAT filings."
Netherlands,"What happens if I want to terminate my freelance contract with iDelivery?","You can terminate your contract by providing written notice to iDelivery. The specific notice period is usually outlined in your service agreement and is often flexible."
Netherlands,"Do I need a special license to be a freelance courier?","You need a valid driver's license for your vehicle type. However, for a commercial vehicle, a special license may be required by Dutch law."
Netherlands,"What is the difference between a freelancer and an employee in the Netherlands?","Freelancers are self-employed and manage their own taxes and insurance. Employees work for iDelivery, have set hours and receive social security and paid leave."
UK,"What is my contract type as an employee?","As a salaried employee in the UK, you will have a formal employment contract with iDelivery, which specifies your working hours, pay rate, and legal entitlements like sick pay and holiday leave."
UK,"How is my pay calculated as an employee?","Your pay is based on an hourly wage, and you will be paid for every hour you work. This provides a stable and consistent income that is not dependent on the number of deliveries you complete."
UK,"Do I get paid sick leave as an employee?","Yes, as an employee, you are entitled to statutory sick pay (SSP) if you are off work for four or more days in a row due to illness. The amount is a fixed weekly rate."
UK,"What is the onboarding process for a new employee?","Onboarding for a new employee involves signing your contract, attending a training session on app usage and safety, and receiving your iDelivery uniform and equipment."
UK,"How do I report a work-related injury as an employee?","If you are injured on the job, you must report it immediately to your manager and seek medical attention. The company's insurance will handle any work-related injury claims."
UK,"What are my rights as a part-time employee?","Part-time employees have the same rights as full-time employees, including access to the national minimum wage and paid holiday. Your entitlements are proportional to your work schedule."
UK,"What is the role of the works council in the UK?","In the UK, employee representation may be handled through trade unions or an elected works council. They work with management to discuss working conditions and other employee-related issues."
UK,"How do I request time off or vacation as an employee?","You must submit a formal request for leave to your supervisor. The approval is subject to company policy and operational needs, and it must be submitted in advance to ensure coverage."
UK,"How are my pension and National Insurance contributions handled?","As an employee, iDelivery will automatically deduct your National Insurance contributions and pension contributions (if applicable) from your gross salary and pay them to the government on your behalf."
UK,"What is the notice period for terminating my employment contract?","The notice period is outlined in your employment contract. It is typically a minimum of one week's notice if you have been employed for more than one month, but this can vary."
UK,"Am I required to work on public holidays as an employee?","You may be required to work on public holidays, also known as bank holidays. If so, your contract will specify if you receive higher pay or time off in lieu."
UK,"Can I use my own vehicle for deliveries as an employee?","If you use your own vehicle, iDelivery will pay a fixed mileage allowance for the distance you travel, which is a common practice for employees using personal cars for work."
UK,"What if I am a minor and working for iDelivery?","Special labor laws apply to minors in the UK. Your working hours and breaks are strictly regulated to protect you, and there are limitations on night work and overtime."
UK,"How do I get my payslips as an employee?","Your payslips are typically provided electronically via a secure online portal on a monthly basis. They provide a detailed breakdown of your earnings and deductions."
UK,"What is my entitlement to breaks as an employee?","You are entitled to a 20-minute uninterrupted rest break if you work more than six hours in a row. This is a legal requirement to ensure you have adequate rest time."
UK,"What is the process for registering as a self-employed courier in the UK?","You must register for Self Assessment with HMRC. This is a legal requirement for all self-employed individuals and allows you to file your annual tax return correctly."
UK,"What is the VAT exemption for small businesses?","The VAT exemption means you don't have to register for VAT if your annual turnover is below the threshold, which is currently £85,000. This simplifies your tax obligations."
UK,"How do I handle taxes as a self-employed courier?","You are responsible for filing your own annual Self Assessment tax return with HMRC. You must report all your earnings and can deduct business expenses to reduce your taxable income."
UK,"Can a self-employed courier work for other companies?","Yes, as a self-employed courier you have the freedom to work for multiple delivery companies. This is a key advantage and allows you to be flexible with your work schedule."
UK,"What are the deductible expenses for a self-employed courier?","You can deduct a range of business expenses, including vehicle costs, fuel, maintenance, phone bills, insurance, and the cost of your delivery bag. Keeping a good record of these is essential."
UK,"Do I get paid sick leave as a self-employed person?","No, you are not entitled to paid sick leave. You are responsible for your own finances and should consider private insurance to cover you if you are unable to work."
UK,"How do I track my earnings as a self-employed courier?","You are responsible for keeping a record of your income and expenses for your tax return. iDelivery provides a payment summary that can be used for your records."
UK,"What is the process for submitting invoices to iDelivery?","iDelivery will automatically generate a weekly or bi-weekly invoice for you based on the deliveries you complete. You can access and download these statements from your courier portal."
UK,"What is the liability for a self-employed courier?","You are responsible for your own liability. You must have adequate commercial insurance for your vehicle to cover any accidents or damages that occur while on a delivery."
UK,"How do I get my Unique Taxpayer Reference (UTR) number?","You get your UTR number after you register for Self Assessment with HMRC. It is a 10-digit number used for all your tax-related correspondence."
UK,"What happens if I want to terminate my self-employed contract with iDelivery?","You can terminate your contract by providing written notice to iDelivery. The specific notice period is outlined in your service agreement, but it is typically flexible."
UK,"Do I need a special license to be a self-employed courier?","You need a valid driver's license for your vehicle type. However, for a commercial vehicle, a special license may be required by UK law."
UK,"What is the difference between a self-employed and an employee?","Self-employed couriers have control over their work and are responsible for their own taxes and expenses. Employees work for iDelivery and receive benefits like sick pay and holiday leave."
All,"I can't see the full address on the app.","This is a security feature. The full address will be revealed to you as you get closer to the customer's location to protect their privacy."
All,"What if a customer asks me to leave the order in their car?","You must not leave the order in a car. You must leave it at the door or another secure location specified in the delivery notes."
All,"Can I refuse an order?","Yes, you can decline an order. However, having a high acceptance rate can lead to more opportunities, and a very low rate may be reviewed by the company."
All,"What if I get a parking ticket?","You are responsible for all parking tickets you incur. The company does not reimburse you for these fees."
All,"What if a customer is being rude or aggressive?","Remain calm and professional. Leave the location immediately if you feel unsafe and report the incident to iDelivery support as soon as possible."
All,"How do I handle a dispute with a restaurant?","Remain calm and professional. If the issue cannot be resolved, contact iDelivery support. Do not engage in a heated argument with the restaurant staff."
All,"Do I get paid for returned items?","You will not be paid for returned items. Advise the customer to contact iDelivery customer support for a refund or a new order."
All,"What if the customer is not home?","Follow the in-app instructions. This typically involves a waiting period and attempting to call or message the customer before contacting support for a resolution."
